year,month,reg_id,dis_name,pro_name,case_num,dea_num,inci_rate,mort_rate
2005,0,0,登革热,幼托儿童,1,0,0.0001,0
2005,0,0,登革热,学生,5,0,0.0004,0
2005,0,0,登革热,商业服务,7,1,0.0005,0.0001
2005,0,0,登革热,医务人员,1,0,0.0001,0
2005,0,0,登革热,工人,3,0,0.0002,0
2005,0,0,登革热,民工,1,0,0.0001,0
2005,0,0,登革热,渔(船)民,2,0,0.0002,0
2005,0,0,登革热,海员及长途驾驶员,1,0,0.0001,0
2005,0,0,登革热,干部职员,7,0,0.0005,0
2005,0,0,登革热,离退人员,4,0,0.0003,0
2005,0,0,登革热,家务及待业,2,0,0.0002,0
2005,0,0,登革热,不详,2,0,0.0002,0
2005,0,0,登革热,其它,4,0,0.0003,0
2005,0,0,流行性感冒,幼托儿童,1847,0,0.1421,0
2005,0,0,流行性感冒,散居儿童,3596,1,0.2766,0.0001
2005,0,0,流行性感冒,学生,28513,0,2.1935,0
2005,0,0,流行性感冒,教师,361,0,0.0278,0
2005,0,0,流行性感冒,保育员及保姆,6,0,0.0005,0
2005,0,0,流行性感冒,餐饮食品业,36,0,0.0028,0
2005,0,0,流行性感冒,公共场所服务员,25,0,0.0019,0
2005,0,0,流行性感冒,商业服务,134,0,0.0103,0
2005,0,0,流行性感冒,医务人员,173,0,0.0133,0
2005,0,0,流行性感冒,工人,508,1,0.0391,0.0001
2005,0,0,流行性感冒,民工,236,0,0.0182,0
2005,0,0,流行性感冒,农民,7437,0,0.5721,0
2005,0,0,流行性感冒,牧民,78,0,0.006,0
2005,0,0,流行性感冒,渔(船)民,2,0,0.0002,0
2005,0,0,流行性感冒,海员及长途驾驶员,6,0,0.0005,0
2005,0,0,流行性感冒,干部职员,366,0,0.0282,0
2005,0,0,流行性感冒,离退人员,170,0,0.0131,0
2005,0,0,流行性感冒,家务及待业,245,1,0.0188,0.0001
2005,0,0,流行性感冒,不详,1151,0,0.0885,0
2005,0,0,流行性感冒,其它,782,2,0.0602,0.0002
2005,0,0,手足口病,幼托儿童,3827,1,0.2944,0.0001
2005,0,0,手足口病,散居儿童,2158,0,0.166,0
2005,0,0,手足口病,学生,364,0,0.028,0
2005,0,0,手足口病,教师,4,0,0.0003,0
2005,0,0,手足口病,公共场所服务员,2,0,0.0002,0
2005,0,0,手足口病,商业服务,2,0,0.0002,0
2005,0,0,手足口病,医务人员,1,0,0.0001,0
2005,0,0,手足口病,工人,7,0,0.0005,0
2005,0,0,手足口病,民工,2,0,0.0002,0
2005,0,0,手足口病,农民,4,0,0.0003,0
2005,0,0,手足口病,干部职员,7,0,0.0005,0
2005,0,0,手足口病,家务及待业,4,0,0.0003,0
2005,0,0,手足口病,不详,5,0,0.0004,0
2005,0,0,手足口病,其它,19,0,0.0015,0
2005,1,0,登革热,学生,1,0,0.0001,0
2005,1,0,流行性感冒,幼托儿童,223,0,0.0172,0
2005,1,0,流行性感冒,散居儿童,274,0,0.0211,0
2005,1,0,流行性感冒,学生,656,0,0.0505,0
2005,1,0,流行性感冒,教师,17,0,0.0013,0
2005,1,0,流行性感冒,保育员及保姆,2,0,0.0002,0
2005,1,0,流行性感冒,餐饮食品业,4,0,0.0003,0
2005,1,0,流行性感冒,公共场所服务员,3,0,0.0002,0
2005,1,0,流行性感冒,商业服务,11,0,0.0008,0
2005,1,0,流行性感冒,医务人员,27,0,0.0021,0
2005,1,0,流行性感冒,工人,57,0,0.0044,0
2005,1,0,流行性感冒,民工,13,0,0.001,0
2005,1,0,流行性感冒,农民,741,0,0.057,0
2005,1,0,流行性感冒,牧民,4,0,0.0003,0
2005,1,0,流行性感冒,渔(船)民,1,0,0.0001,0
2005,1,0,流行性感冒,海员及长途驾驶员,1,0,0.0001,0
2005,1,0,流行性感冒,干部职员,33,0,0.0025,0
2005,1,0,流行性感冒,离退人员,20,0,0.0015,0
2005,1,0,流行性感冒,家务及待业,14,0,0.0011,0
2005,1,0,流行性感冒,不详,29,0,0.0022,0
2005,1,0,流行性感冒,其它,16,0,0.0012,0
2005,1,0,手足口病,幼托儿童,268,0,0.0206,0
2005,1,0,手足口病,散居儿童,66,0,0.0051,0
2005,1,0,手足口病,学生,15,0,0.0012,0
2005,1,0,手足口病,农民,1,0,0.0001,0
2005,2,0,登革热,干部职员,3,0,0.0002,0
2005,2,0,流行性感冒,幼托儿童,57,0,0.0044,0
2005,2,0,流行性感冒,散居儿童,156,0,0.012,0
2005,2,0,流行性感冒,学生,235,0,0.0181,0
2005,2,0,流行性感冒,教师,11,0,0.0008,0
2005,2,0,流行性感冒,餐饮食品业,1,0,0.0001,0
2005,2,0,流行性感冒,公共场所服务员,2,0,0.0002,0
2005,2,0,流行性感冒,商业服务,6,0,0.0005,0
2005,2,0,流行性感冒,医务人员,7,0,0.0005,0
2005,2,0,流行性感冒,工人,26,0,0.002,0
2005,2,0,流行性感冒,民工,13,0,0.001,0
2005,2,0,流行性感冒,农民,599,0,0.0461,0
