area_name,year,month,dis_name,case_num,death_num,ici_rate,mort_rate
全国,2015,5,艾滋病,353,40,0.0272,0.0031
北京市,2015,5,艾滋病,3,0,0.0203,
天津市,2015,5,艾滋病,,,,
河北省,2015,5,艾滋病,3,0,0.0044,
山西省,2015,5,艾滋病,5,0,0.0151,
内蒙古,2015,5,艾滋病,,,,
吉林省,2015,5,艾滋病,2,0,0.0075,
黑龙江,2015,5,艾滋病,2,0,0.0053,
上海市,2015,5,艾滋病,,,,
江苏省,2015,5,艾滋病,3,1,0.004,0.0013
浙江省,2015,5,艾滋病,4,1,0.0085,0.0021
安徽省,2015,5,艾滋病,,,,
福建省,2015,5,艾滋病,7,0,0.0195,
江西省,2015,5,艾滋病,1,0,0.0023,
山东省,2015,5,艾滋病,2,1,0.0022,0.0011
河南省,2015,5,艾滋病,88,3,0.0908,0.0031
湖北省,2015,5,艾滋病,25,5,0.0416,0.0083
湖南省,2015,5,艾滋病,15,2,0.0225,0.003
广东省,2015,5,艾滋病,17,1,0.0214,0.0013
广西,2015,5,艾滋病,53,0,0.1091,
海南省,2015,5,艾滋病,,,,
重庆市,2015,5,艾滋病,2,0,0.0064,
四川省,2015,5,艾滋病,5,0,0.0057,
贵州省,2015,5,艾滋病,2,0,0.0052,
云南省,2015,5,艾滋病,108,22,0.248,0.0505
陕西省,2015,5,艾滋病,3,1,0.0082,0.0027
甘肃省,2015,5,艾滋病,0,2,,0.0077
青海省,2015,5,艾滋病,2,1,0.0371,0.0185
新疆,2015,5,艾滋病,1,0,0.0054,
全国,2015,5,HIV,1421,0,0.1093,
北京市,2015,5,HIV,8,0,0.054,
天津市,2015,5,HIV,2,0,0.0215,
河北省,2015,5,HIV,3,0,0.0044,
山西省,2015,5,HIV,3,0,0.0091,
内蒙古,2015,5,HIV,1,0,0.0042,
吉林省,2015,5,HIV,5,0,0.0188,
黑龙江,2015,5,HIV,8,0,0.0213,
上海市,2015,5,HIV,11,0,0.0822,
江苏省,2015,5,HIV,11,0,0.0145,
浙江省,2015,5,HIV,9,0,0.0191,
安徽省,2015,5,HIV,2,0,0.0031,
福建省,2015,5,HIV,8,0,0.0222,
江西省,2015,5,HIV,4,0,0.0093,
山东省,2015,5,HIV,1,0,0.0011,
河南省,2015,5,HIV,38,0,0.0392,
湖北省,2015,5,HIV,30,0,0.0499,
湖南省,2015,5,HIV,78,0,0.1168,
广东省,2015,5,HIV,65,0,0.0817,
广西,2015,5,HIV,93,0,0.1915,
海南省,2015,5,HIV,27,0,0.3316,
重庆市,2015,5,HIV,6,0,0.0192,
四川省,2015,5,HIV,95,0,0.109,
贵州省,2015,5,HIV,14,0,0.0366,
云南省,2015,5,HIV,876,0,2.0118,
陕西省,2015,5,HIV,2,0,0.0055,
甘肃省,2015,5,HIV,2,0,0.0077,
青海省,2015,5,HIV,1,0,0.0185,
新疆,2015,5,HIV,18,0,0.0968,
