area_name,year,month,dis_name,case_num,death_num,ici_rate,mort_rate
全    国,2005,1,艾滋病,2994,1042,0.219296787,0.076321727
北京市,2005,1,艾滋病,42,3,0.195165957,0.013940426
天津市,2005,1,艾滋病,15,6,0.098875,0.03955
河北省,2005,1,艾滋病,3,20,0.0040625,0.027083333
山西省,2005,1,艾滋病,35,8,0.096,0.021942857
内蒙古,2005,1,艾滋病,32,5,0.127753846,0.019961538
辽宁省,2005,1,艾滋病,69,2,0.157122857,0.004554286
吉林省,2005,1,艾滋病,53,6,0.192627586,0.021806897
黑龙江省,2005,1,艾滋病,44,6,0.114766667,0.01565
上海市,2005,1,艾滋病,14,7,0.05769697,0.028848485
江苏省,2005,1,艾滋病,80,23,0.100521739,0.0289
浙江省,2005,1,艾滋病,80,10,0.14528,0.01816
安徽省,2005,1,艾滋病,53,20,0.087179592,0.032897959
福建省,2005,1,艾滋病,7,9,0.018397436,0.023653846
江西省,2005,1,艾滋病,61,44,0.134279221,0.096857143
山东省,2005,1,艾滋病,13,12,0.013267647,0.012247059
河南省,2005,1,艾滋病,152,78,0.16112,0.08268
湖北省,2005,1,艾滋病,125,23,0.214873418,0.039536709
湖南省,2005,1,艾滋病,199,79,0.295324468,0.117239362
广东省,2005,1,艾滋病,297,53,0.276891829,0.049411673
广    西,2005,1,艾滋病,451,226,0.948680607,0.475392056
海南省,2005,1,艾滋病,23,12,0.2544375,0.13275
重庆市,2005,1,艾滋病,121,33,0.404512308,0.110321538
四川省,2005,1,艾滋病,320,104,0.393142857,0.127771429
贵州省,2005,1,艾滋病,103,51,0.29364537,0.145397222
云南省,2005,1,艾滋病,325,113,0.689435976,0.239711585
西    藏,2005,1,艾滋病,7,5,0.2205,0.1575
陕西省,2005,1,艾滋病,39,13,0.1033,0.034433333
甘肃省,2005,1,艾滋病,2,15,0.007711111,0.057833333
青海省,2005,1,艾滋病,57,5,0.9768375,0.0856875
宁    夏,2005,1,艾滋病,18,20,0.27216,0.3024
新疆,2005,1,艾滋病,148,29,0.643919355,0.126173387
建设兵团,2005,1,艾滋病,6,2,0.2196,0.0732
全    国,2005,1,HIV,6822,801,0.4997158,0.058673755
北京市,2005,1,HIV,285,5,1.324637097,0.023239247
天津市,2005,1,HIV,74,4,0.487808,0.026368
河北省,2005,1,HIV,187,2,0.253208108,0.002708108
山西省,2005,1,HIV,91,21,0.249509302,0.05757907
内蒙古,2005,1,HIV,85,1,0.33937037,0.003992593
辽宁省,2005,1,HIV,220,6,0.50104712,0.013664921
