year,month,reg_id,disease,case_num,dea_num,inci_rate,mort_rate
2005,0,0,登革热,40,1,0.0031,0.0001
2005,0,0,流行性感冒,45672,5,3.5136,0.0004
2005,0,0,手足口病,6406,1,0.4928,0.0001
2005,0,11000000,流行性感冒,120,0,0.7811,0
2005,0,11000000,手足口病,235,0,1.5296,0
2005,0,12000000,流行性感冒,377,1,3.6197,0.0096
2005,0,12000000,手足口病,2,0,0.0192,0
2005,0,13000000,登革热,1,0,0.0015,0
2005,0,13000000,流行性感冒,3916,0,5.7508,0
2005,0,13000000,手足口病,108,0,0.1586,0
2005,0,14000000,流行性感冒,79,0,0.2369,0
2005,0,14000000,手足口病,11,0,0.033,0
2005,0,15000000,流行性感冒,54,0,0.2274,0
2005,0,15000000,手足口病,20,0,0.0842,0
2005,0,21000000,登革热,2,0,0.0047,0
2005,0,21000000,流行性感冒,66,0,0.1565,0
2005,0,21000000,手足口病,5,0,0.0119,0
2005,0,22000000,流行性感冒,30,0,0.1107,0
2005,0,22000000,手足口病,5,0,0.0185,0
2005,0,23000000,流行性感冒,65,0,0.1706,0
2005,0,23000000,手足口病,66,0,0.1732,0
2005,0,31000000,登革热,1,0,0.0056,0
2005,0,31000000,流行性感冒,8,0,0.045,0
2005,0,31000000,手足口病,3069,0,17.2775,0
2005,0,32000000,登革热,4,0,0.0054,0
2005,0,32000000,流行性感冒,1028,0,1.3783,0
2005,0,32000000,手足口病,39,0,0.0523,0
2005,0,33000000,登革热,9,0,0.0185,0
2005,0,33000000,流行性感冒,1998,0,4.0997,0
2005,0,33000000,手足口病,100,0,0.2052,0
2005,0,34000000,流行性感冒,1097,0,1.8036,0
2005,0,34000000,手足口病,7,0,0.0115,0
2005,0,35000000,登革热,11,0,0.0313,0
2005,0,35000000,流行性感冒,477,0,1.3574,0
2005,0,35000000,手足口病,71,0,0.202,0
2005,0,36000000,流行性感冒,1266,0,2.9597,0
2005,0,36000000,手足口病,1,0,0.0023,0
2005,0,37000000,流行性感冒,96,0,0.1044,0
2005,0,37000000,手足口病,2475,1,2.6919,0.0011
2005,0,41000000,登革热,2,1,0.0021,0.0011
2005,0,41000000,流行性感冒,1885,1,2.0201,0.0011
2005,0,41000000,手足口病,21,0,0.0225,0
2005,0,42000000,流行性感冒,1205,1,2.1168,0.0018
2005,0,42000000,手足口病,9,0,0.0158,0
2005,0,43000000,流行性感冒,664,0,1.055,0
2005,0,44000000,登革热,6,0,0.0066,0
2005,0,44000000,流行性感冒,5913,2,6.4765,0.0022
2005,0,44000000,手足口病,48,0,0.0526,0
2005,0,45000000,流行性感冒,3234,0,6.9965,0
2005,0,45000000,手足口病,2,0,0.0043,0
2005,0,46000000,流行性感冒,351,0,4.277,0
2005,0,46000000,手足口病,1,0,0.0122,0
2005,0,50000000,流行性感冒,2343,0,8.3989,0
2005,0,51000000,流行性感冒,5157,0,6.2981,0
2005,0,51000000,手足口病,19,0,0.0232,0
2005,0,52000000,流行性感冒,6838,0,18.4677,0
2005,0,52000000,手足口病,1,0,0.0027,0
2005,0,53000000,登革热,1,0,0.0023,0
2005,0,53000000,流行性感冒,3753,0,8.5011,0
2005,0,53000000,手足口病,3,0,0.0068,0
2005,0,54000000,流行性感冒,759,0,27.6898,0
2005,0,61000000,登革热,3,0,0.0081,0
2005,0,61000000,流行性感冒,342,0,0.923,0
2005,0,61000000,手足口病,3,0,0.0081,0
2005,0,62000000,流行性感冒,1110,0,4.3049,0
2005,0,62000000,手足口病,15,0,0.0582,0
2005,0,63000000,流行性感冒,190,0,3.5323,0
2005,0,64000000,流行性感冒,265,0,4.4951,0
2005,0,64000000,手足口病,16,0,0.2714,0
2005,0,65000000,流行性感冒,986,0,4.9613,0
2005,0,65000000,手足口病,54,0,0.2717,0
2005,1,0,登革热,1,0,0.0001,0
2005,1,0,流行性感冒,2146,0,0.1651,0
2005,1,0,手足口病,350,0,0.0269,0
2005,1,11000000,流行性感冒,2,0,0.013,0
2005,1,12000000,流行性感冒,98,0,0.9409,0
2005,1,13000000,流行性感冒,385,0,0.5654,0
2005,1,14000000,流行性感冒,5,0,0.015,0
2005,1,21000000,登革热,1,0,0.0024,0
2005,1,21000000,流行性感冒,7,0,0.0166,0
2005,1,23000000,流行性感冒,11,0,0.0289,0
2005,1,31000000,流行性感冒,1,0,0.0056,0
2005,1,31000000,手足口病,334,0,1.8803,0
2005,1,32000000,流行性感冒,441,0,0.5913,0
2005,1,33000000,流行性感冒,40,0,0.0821,0
2005,1,33000000,手足口病,2,0,0.0041,0
2005,1,34000000,流行性感冒,55,0,0.0904,0
2005,1,35000000,流行性感冒,9,0,0.0256,0
2005,1,35000000,手足口病,1,0,0.0028,0
2005,1,36000000,流行性感冒,51,0,0.1192,0
2005,1,37000000,流行性感冒,7,0,0.0076,0
2005,1,37000000,手足口病,12,0,0.0131,0
2005,1,41000000,流行性感冒,181,0,0.194,0
2005,1,42000000,流行性感冒,15,0,0.0263,0
2005,1,43000000,流行性感冒,20,0,0.0318,0
2005,1,44000000,流行性感冒,47,0,0.0515,0
2005,1,44000000,手足口病,1,0,0.0011,0
2005,1,45000000,流行性感冒,72,0,0.1558,0
2005,1,46000000,流行性感冒,3,0,0.0366,0
2005,1,50000000,流行性感冒,51,0,0.1828,0
2005,1,51000000,流行性感冒,146,0,0.1783,0
2005,1,52000000,流行性感冒,77,0,0.208,0
2005,1,53000000,流行性感冒,13,0,0.0294,0
2005,1,54000000,流行性感冒,15,0,0.5472,0
2005,1,61000000,流行性感冒,58,0,0.1565,0
2005,1,62000000,流行性感冒,231,0,0.8959,0
2005,1,63000000,流行性感冒,79,0,1.4687,0
2005,1,64000000,流行性感冒,16,0,0.2714,0
2005,1,65000000,流行性感冒,10,0,0.0503,0
2005,2,0,登革热,3,0,0.0002,0
2005,2,0,流行性感冒,1179,0,0.0907,0
2005,2,0,手足口病,57,0,0.0044,0
2005,2,12000000,流行性感冒,10,0,0.096,0
2005,2,13000000,登革热,1,0,0.0015,0
2005,2,13000000,流行性感冒,256,0,0.3759,0
2005,2,14000000,流行性感冒,3,0,0.009,0
2005,2,15000000,流行性感冒,2,0,0.0084,0
2005,2,21000000,登革热,1,0,0.0024,0
2005,2,23000000,流行性感冒,1,0,0.0026,0
2005,2,31000000,手足口病,55,0,0.3096,0
2005,2,32000000,流行性感冒,1,0,0.0013,0
2005,2,33000000,流行性感冒,55,0,0.1129,0
2005,2,33000000,手足口病,1,0,0.0021,0
2005,2,34000000,流行性感冒,34,0,0.0559,0
2005,2,35000000,登革热,1,0,0.0028,0
2005,2,35000000,流行性感冒,4,0,0.0114,0
2005,2,36000000,流行性感冒,68,0,0.159,0
2005,2,37000000,流行性感冒,3,0,0.0033,0
2005,2,37000000,手足口病,1,0,0.0011,0
2005,2,41000000,流行性感冒,90,0,0.0965,0
2005,2,42000000,流行性感冒,44,0,0.0773,0
2005,2,43000000,流行性感冒,7,0,0.0111,0
2005,2,44000000,流行性感冒,103,0,0.1128,0
2005,2,45000000,流行性感冒,56,0,0.1212,0
2005,2,50000000,流行性感冒,21,0,0.0753,0
2005,2,51000000,流行性感冒,94,0,0.1148,0
2005,2,52000000,流行性感冒,49,0,0.1323,0
2005,2,53000000,流行性感冒,114,0,0.2582,0
2005,2,54000000,流行性感冒,10,0,0.3648,0
2005,2,61000000,流行性感冒,31,0,0.0837,0
2005,2,62000000,流行性感冒,67,0,0.2598,0
2005,2,63000000,流行性感冒,14,0,0.2603,0
2005,2,64000000,流行性感冒,9,0,0.1527,0
2005,2,65000000,流行性感冒,33,0,0.166,0
2005,3,0,登革热,1,0,0.0001,0
2005,3,0,流行性感冒,4653,0,0.358,0
2005,3,0,手足口病,165,0,0.0127,0
2005,3,12000000,流行性感冒,9,0,0.0864,0
2005,3,13000000,流行性感冒,280,0,0.4112,0
2005,3,14000000,流行性感冒,3,0,0.009,0
2005,3,14000000,手足口病,2,0,0.006,0
2005,3,15000000,流行性感冒,2,0,0.0084,0
2005,3,15000000,手足口病,7,0,0.0295,0
2005,3,21000000,流行性感冒,5,0,0.0119,0
2005,3,23000000,流行性感冒,1,0,0.0026,0
2005,3,31000000,登革热,1,0,0.0056,0
2005,3,31000000,手足口病,145,0,0.8163,0
2005,3,32000000,流行性感冒,3,0,0.004,0
2005,3,32000000,手足口病,3,0,0.004,0
2005,3,33000000,流行性感冒,477,0,0.9788,0
2005,3,33000000,手足口病,2,0,0.0041,0
2005,3,34000000,流行性感冒,46,0,0.0756,0
2005,3,35000000,流行性感冒,32,0,0.0911,0
2005,3,36000000,流行性感冒,285,0,0.6663,0
2005,3,37000000,流行性感冒,1,0,0.0011,0
2005,3,37000000,手足口病,6,0,0.0065,0
2005,3,41000000,流行性感冒,225,0,0.2411,0
2005,3,42000000,流行性感冒,84,0,0.1476,0
2005,3,43000000,流行性感冒,315,0,0.5005,0
2005,3,44000000,流行性感冒,957,0,1.0482,0
2005,3,45000000,流行性感冒,153,0,0.331,0
2005,3,46000000,流行性感冒,5,0,0.0609,0
2005,3,50000000,流行性感冒,288,0,1.0324,0
2005,3,51000000,流行性感冒,317,0,0.3871,0
2005,3,52000000,流行性感冒,296,0,0.7994,0
2005,3,53000000,流行性感冒,96,0,0.2175,0
2005,3,54000000,流行性感冒,573,0,20.9041,0
2005,3,61000000,流行性感冒,29,0,0.0783,0
2005,3,62000000,流行性感冒,123,0,0.477,0
2005,3,63000000,流行性感冒,18,0,0.3346,0
2005,3,64000000,流行性感冒,20,0,0.3393,0
2005,3,65000000,流行性感冒,10,0,0.0503,0
2005,4,0,登革热,3,0,0.0002,0
2005,4,0,流行性感冒,8723,0,0.6711,0
2005,4,0,手足口病,372,0,0.0286,0
2005,4,11000000,流行性感冒,1,0,0.0065,0
2005,4,11000000,手足口病,4,0,0.026,0
2005,4,13000000,流行性感冒,254,0,0.373,0
2005,4,13000000,手足口病,2,0,0.0029,0
2005,4,14000000,流行性感冒,6,0,0.018,0
2005,4,15000000,流行性感冒,6,0,0.0253,0
2005,4,21000000,流行性感冒,3,0,0.0071,0
2005,4,22000000,流行性感冒,7,0,0.0258,0
2005,4,23000000,流行性感冒,3,0,0.0079,0
2005,4,31000000,流行性感冒,2,0,0.0113,0
2005,4,31000000,手足口病,307,0,1.7283,0
2005,4,32000000,登革热,1,0,0.0013,0
